,link
0,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af72bd38-3a"">Q1964955</a> "
1,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af6677fa-3a"">Q1964952</a> "
2,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af62f109-3a"">Q1964951</a> "
3,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af5a8ae3-3a"">Q1964949</a> "
4,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/97095657-34"">Q1962585</a> "
5,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5bdc4e70-97"">Q1717811</a> "
6,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e0c207a5-91"">Q1716025</a> "
7,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/cade5b43-90"">Q1714283</a> "
8,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/2936086e-8e"">Q1712906</a> "
9,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/29219e23-8e"">Q1712903</a> "
10,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/9bd0e579-8a"">Q1707741</a> "
11,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/29fa772f-88"">Q1706028</a> "
12,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/026407ce-87"">Q1704819</a> "
13,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/301df880-84"">Q1701334</a> "
14,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/7b7ff432-83"">Q1699519</a> "
15,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/7b7d2fd1-83"">Q1699518</a> "
16,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/7b7a2af7-83"">Q1699517</a> "
17,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/9f034384-81"">Q1696813</a> "
18,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/9effa766-81"">Q1696812</a> "
19,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/850ae282-80"">Q1695143</a> "
20,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/85071483-80"">Q1695142</a> "
21,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/0ff18a33-80"">Q1695103</a> "
22,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/0a874a04-76"">Q1685405</a> "
23,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/0a776f50-76"">Q1685401</a> "
24,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/aeed5b35-76"">Q1685367</a> "
25,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/aee71556-76"">Q1685366</a> "
26,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/aee167f4-76"">Q1685365</a> "
27,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/aedafd6b-76"">Q1685364</a> "
28,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/aec9a06b-76"">Q1685361</a> "
29,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/050921c2-72"">Q1683249</a> "
30,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/098ee571-71"">Q1682283</a> "
31,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/42cb02fa-71"">Q1681847</a> "
32,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/8068e96e-71"">Q1681663</a> "
33,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/6b0073fc-6c"">Q1677649</a> "
34,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/6af9f54b-6c"">Q1677648</a> "
35,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/d01c54b0-63"">Q1671399</a> "
36,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/a9e2bfda-4a"">Q1657590</a> "
37,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/a9de0de3-4a"">Q1657589</a> "
38,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e5b436a2-47"">Q1655987</a> "
39,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/06658391-47"">Q1655458</a> "
40,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/2c272a7d-44"">Q1653253</a> "
41,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/20a08655-44"">Q1653151</a> "
42,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/8acffc7c-43"">Q1652007</a> "
43,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/7407fd9e-2f"">Q1639322</a> "
44,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/632616fb-2d"">Q1637295</a> "
45,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/c91b57bc-2d"">Q1636978</a> "
46,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af181511-2d"">Q1636934</a> "
47,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/80b970f7-26"">Q1636200</a> "
48,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/fed1baa3-22"">Q1634810</a> "
49,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/feda7326-1f"">Q1631368</a> "
50,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/78249f82-1f"">Q1631267</a> "
51,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/01892b80-1f"">Q1631226</a> "
52,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/22ee7634-1b"">Q1627135</a> "
53,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/c4f584e8-1b"">Q1627099</a> "
54,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/19291c34-19"">Q1625402</a> "
55,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/2a566dad-17"">Q1622989</a> "
56,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/2a52f99a-17"">Q1622988</a> "
57,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/f6a319ed-17"">Q1622814</a> "
58,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/3fae4deb-17"">Q1622596</a> "
59,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/00e35cf8-16"">Q1622298</a> "
60,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/03e9d165-15"">Q1621080</a> "
61,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/03d94e6d-15"">Q1621078</a> "
