,link
0,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af72bd38-3a"">Q1964955</a> "
1,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af6677fa-3a"">Q1964952</a> "
2,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af62f109-3a"">Q1964951</a> "
3,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af5a8ae3-3a"">Q1964949</a> "
4,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/97095657-34"">Q1962585</a> "
5,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af72bd38-3a"">Q1964955</a> "
6,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af6677fa-3a"">Q1964952</a> "
7,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af62f109-3a"">Q1964951</a> "
8,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af5a8ae3-3a"">Q1964949</a> "
9,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/97095657-34"">Q1962585</a> "
10,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/d83c2933-34"">Q1962525</a> "
11,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/6969e600-33"">Q1962202</a> "
12,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/157f4905-32"">Q1961808</a> "
13,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/157c6275-32"">Q1961807</a> "
14,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/15726444-32"">Q1961804</a> "
15,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/11d1e330-2f"">Q1961443</a> "
16,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/11cb240b-2f"">Q1961441</a> "
17,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/59e02289-2e"">Q1961206</a> "
18,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/f6a61d8a-2e"">Q1960980</a> "
19,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/8706781c-2d"">Q1960408</a> "
20,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/87029965-2d"">Q1960407</a> "
21,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/fccdbc4d-2d"">Q1960291</a> "
22,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/fcb60747-2d"">Q1960287</a> "
23,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/fcb2dc90-2d"">Q1960286</a> "
24,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/d3c0b395-2d"">Q1960166</a> "
25,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/d3b73a78-2d"">Q1960164</a> "
26,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/c7fc8edd-2a"">Q1958958</a> "
27,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/29d5514e-1f"">Q1956361</a> "
28,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/8a713886-11"">Q1947132</a> "
29,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5a704e97-10"">Q1947019</a> "
30,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/ea0966f8-0e"">Q1946409</a> "
31,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/09dfd96d-0e"">Q1946156</a> "
32,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/7133648b-0d"">Q1945900</a> "
33,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/bcbc1595-0d"">Q1945457</a> "
34,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/bca3b7d7-0d"">Q1945452</a> "
35,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/bc9d836e-0d"">Q1945450</a> "
36,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/bc8be083-0d"">Q1945444</a> "
37,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/1378eccc-0d"">Q1945189</a> "
38,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/13546523-0d"">Q1945182</a> "
39,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/97dc527b-0c"">Q1944628</a> "
40,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/97d5682c-0c"">Q1944626</a> "
41,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/61aa4e97-07"">Q1941980</a> "
42,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/f3fc0630-06"">Q1941308</a> "
43,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/f3f8c8b1-06"">Q1941307</a> "
44,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/0c4c072a-06"">Q1940966</a> "
45,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/0c4124ed-06"">Q1940962</a> "
46,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/0c3b6c84-06"">Q1940960</a> "
47,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/0c35e4d2-06"">Q1940958</a> "
48,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/cab8dda6-05"">Q1940641</a> "
49,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/a920fce9-04"">Q1940498</a> "
50,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/a91e14be-04"">Q1940497</a> "
51,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/3ee55f9f-04"">Q1940443</a> "
52,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/021d01df-04"">Q1940300</a> "
53,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/343fbcff-04"">Q1939965</a> "
54,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/f8829c7d-02"">Q1939708</a> "
55,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/c15c0b1a-fd"">Q1937387</a> "
56,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/c158e33b-fd"">Q1937386</a> "
57,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/c1559e2a-fd"">Q1937385</a> "
58,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/621c36fc-f5"">Q1931464</a> "
59,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5a67fb2f-f4"">Q1930603</a> "
60,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5a6541f3-f4"">Q1930602</a> "
