,link
0,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af72bd38-3a"">Q1964955</a> "
1,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af6677fa-3a"">Q1964952</a> "
2,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af62f109-3a"">Q1964951</a> "
3,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af5a8ae3-3a"">Q1964949</a> "
4,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/97095657-34"">Q1962585</a> "
5,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/9d665b73-5f"">Q981214</a> "
6,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/9d6225aa-5f"">Q981213</a> "
7,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/cfbe15d2-52"">Q976693</a> "
8,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/cfb2d0da-52"">Q976690</a> "
9,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/cfa4ef0b-52"">Q976686</a> "
10,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e9a7211d-50"">Q976083</a> "
11,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e9a3e3b1-50"">Q976082</a> "
12,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e99fc5a8-50"">Q976081</a> "
13,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e99b014b-50"">Q976080</a> "
14,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e996d54b-50"">Q976079</a> "
15,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/11247b86-4f"">Q975829</a> "
16,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/110d840c-4f"">Q975823</a> "
17,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/58e2b846-4a"">Q974113</a> "
18,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/65117802-49"">Q973522</a> "
19,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/bf27646d-36"">Q968758</a> "
20,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e79b4bf5-33"">Q967916</a> "
21,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/444a19d8-33"">Q967819</a> "
22,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/44467fa0-33"">Q967818</a> "
23,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/4435fed1-33"">Q967814</a> "
24,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/beeedd13-32"">Q967719</a> "
25,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/b7c2aa3e-32"">Q967616</a> "
26,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/b7b33db4-32"">Q967612</a> "
27,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e4cdab4e-2a"">Q965462</a> "
28,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/3a5a7f18-24"">Q963924</a> "
29,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/3a5733ba-24"">Q963923</a> "
30,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e3382fb4-1f"">Q961943</a> "
31,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5f719989-1e"">Q961626</a> "
32,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/2ba9d88f-19"">Q960015</a> "
33,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/9d8d3ab6-14"">Q958736</a> "
34,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/a30003a8-12"">Q958147</a> "
35,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/a2f95b6b-12"">Q958145</a> "
36,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/a2e8a182-12"">Q958140</a> "
37,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/db09e244-12"">Q958092</a> "
38,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/b16b5001-10"">Q957946</a> "
39,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/bee6cb3c-0e"">Q957553</a> "
40,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/bee3ae6e-0e"">Q957552</a> "
41,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/8df87f8f-0e"">Q957211</a> "
42,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/63990877-0a"">Q956795</a> "
43,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/3bae4315-09"">Q955035</a> "
44,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/9360d4be-fe"">Q952481</a> "
45,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/9854c58f-fc"">Q951639</a> "
46,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/277a7d5a-f7"">Q950234</a> "
47,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/eb0ce9d5-e7"">Q946623</a> "
48,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/332e137f-e4"">Q946208</a> "
49,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/f9d735f3-db"">Q943656</a> "
50,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/2297204c-d8"">Q942248</a> "
51,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e319b062-d8"">Q942171</a> "
52,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/dbff723d-c9"">Q938343</a> "
53,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/19e6ad33-bc"">Q933286</a> "
54,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/804e0f9b-bc"">Q933165</a> "
55,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/8046787c-bc"">Q933163</a> "
56,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/75f63f89-bc"">Q933045</a> "
57,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/75f271e1-bc"">Q933044</a> "
58,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/75eef174-bc"">Q933043</a> "
59,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/da53763e-bb"">Q932258</a> "
60,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/28050031-af"">Q926950</a> "
61,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/72f96e7c-ab"">Q926246</a> "
