,link
0,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af72bd38-3a"">Q1964955</a> "
1,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af6677fa-3a"">Q1964952</a> "
2,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af62f109-3a"">Q1964951</a> "
3,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/af5a8ae3-3a"">Q1964949</a> "
4,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/97095657-34"">Q1962585</a> "
5,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/57f1dbd3-ac"">Q1257435</a> "
6,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/01417eff-ac"">Q1257014</a> "
7,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/013df36c-ac"">Q1257013</a> "
8,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/0139d034-ac"">Q1257012</a> "
9,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/01360f4f-ac"">Q1257011</a> "
10,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/0132b4c7-ac"">Q1257010</a> "
11,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/012f3b0a-ac"">Q1257009</a> "
12,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/012a9ab4-ac"">Q1257008</a> "
13,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/6400b740-ab"">Q1256115</a> "
14,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/dceadcf7-aa"">Q1253688</a> "
15,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/8fba625a-aa"">Q1252530</a> "
16,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5ce0e628-aa"">Q1252437</a> "
17,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5cdd1f11-aa"">Q1252436</a> "
18,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5cd949c9-aa"">Q1252435</a> "
19,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5cd4f591-aa"">Q1252434</a> "
20,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5cd22068-aa"">Q1252433</a> "
21,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5aee808f-a9"">Q1251901</a> "
22,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5adf7c7e-a9"">Q1251898</a> "
23,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/652d4830-a9"">Q1251644</a> "
24,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/350e745a-a6"">Q1243916</a> "
25,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/22f089b5-a6"">Q1243893</a> "
26,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/22e0a03d-a6"">Q1243890</a> "
27,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e63fa152-a6"">Q1242759</a> "
28,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/e631a7fe-a6"">Q1242755</a> "
29,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/04eb67a4-a5"">Q1241510</a> "
30,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/04d9b482-a5"">Q1241506</a> "
31,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/741371fe-f3"">Q1239422</a> "
32,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/da1be6dc-f7"">Q1238164</a> "
33,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/4bb58e3b-17"">Q1234870</a> "
34,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/2c26fc9f-66"">Q1231026</a> "
35,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/5fdea41f-56"">Q1228110</a> "
36,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/6ec21535-a8"">Q1226019</a> "
37,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/349ed486-67"">Q1224655</a> "
38,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/cfb16ce7-db"">Q1223793</a> "
39,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/23f26b60-27"">Q1223560</a> "
40,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/f031141d-b7"">Q1223429</a> "
41,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/fd58d3e5-a3"">Q1219585</a> "
42,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/63104ba0-a2"">Q1219022</a> "
43,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/060ff86c-a2"">Q1218764</a> "
44,"
<a target=""_blank"" href=""/questoes-de-concursos/questoes/060cbb87-a2"">Q1218763</a> "
