,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5,none,none,none,none,none,none,/questoes-de-concursos/questoes/0e8bd3de-c2
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/15bbda2b-c0
7,none,none,none,none,none,none,/questoes-de-concursos/questoes/15af5575-c0
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/185883dd-c0
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/fb9fa786-bb
10,none,none,none,none,none,none,/questoes-de-concursos/questoes/fb9c50be-bb
11,none,none,none,none,none,none,/questoes-de-concursos/questoes/fb98fccd-bb
12,none,none,none,none,none,none,/questoes-de-concursos/questoes/fb952222-bb
13,none,none,none,none,none,none,/questoes-de-concursos/questoes/fb8b822d-bb
14," A negação da proposição “Existe quadrado que não é retângulo”, de acordo com as regras da lógica para quantificadores, é: ",Nenhum quadrado é retângulo.,Todo quadrado é retângulo.,Existe retângulo que não é quadrado.,Existe quadrado que é retângulo.,Todo retângulo é quadrado.,/questoes-de-concursos/questoes/3a089ad7-9f
15," “Rosana inseriu os dados no sistema informatizado ou protocolou o documento em tempo hábil”. De acordo com a equivalência de proposições compostas, a negação da frase pode ser descrita como: ",Rosana não inseriu os dados no sistema informatizado e não protocolou o documento em tempo hábil ,Rosana inseriu os dados no sistema informatizado ou protocolou o documento em tempo hábil ,Rosana não inseriu os dados no sistema informatizado ou protocolou o documento em tempo hábil  ,Rosana inseriu os dados no sistema informatizado ou não protocolou o documento em tempo hábil,Rosana inseriu os dados no sistema informatizado e protocolou o documento em tempo hábil,/questoes-de-concursos/questoes/9362e871-9b
16, De acordo com a proposição lógica a frase “O agente censitário não transcreveu o texto em planilha eletrônica ou o trabalho foi realizado com sucesso” é equivalente a frase: ,"Se o agente censitário não transcreveu o texto em planilha eletrônica, então o trabalho não foi realizado com sucesso",O agente censitário transcreveu o texto em planilha eletrônica e o trabalho não foi realizado com sucesso,O agente censitário transcreveu o texto em planilha eletrônica ou o trabalho não foi realizado com sucesso,"Se o trabalho foi realizado com sucesso, então o coordenador não realizou a previsão orçamentária","Se o trabalho não foi realizado com sucesso, então o agente censitário não transcreveu o texto em planilha eletrônica ",/questoes-de-concursos/questoes/93600a3c-9b
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/dc606048-96
18," De acordo com a proposição lógica a frase “Se o coordenador realizou a previsão orçamentária, então o trabalho foi realizado com sucesso” é equivalente a frase: ","Se o coordenador não realizou a previsão orçamentária, então o trabalho não foi realizado com sucesso",O coordenador realizou a previsão orçamentária e o trabalho foi realizado com sucesso,O coordenador realizou a previsão orçamentária ou o trabalho foi realizado com sucesso,"Se o trabalho não foi realizado com sucesso, então o coordenador não realizou a previsão orçamentária","Se o trabalho foi realizado com sucesso, então o coordenador realizou a previsão orçamentária",/questoes-de-concursos/questoes/d6b95d5f-95
19," “Ana analisou o trabalho de um recenseador e autorizou a prorrogação de seu contrato”. De acordo com a equivalência de proposições compostas, a negação da frase pode ser descrita como: ",Ana não analisou o trabalho de um recenseador e não autorizou a prorrogação de seu contrato,Ana não analisou o trabalho de um recenseador ou autorizou a prorrogação de seu contrato,Ana não analisou o trabalho de um recenseador ou não autorizou a prorrogação de seu contrato,Ana analisou o trabalho de um recenseador e não autorizou a prorrogação de seu contrato ,Ana analisou o trabalho de um recenseador ou não autorizou a prorrogação de seu contrato ,/questoes-de-concursos/questoes/d6afc22e-95
20,error, Dezessete novos delegados da Polícia Civil não foram empossados no dia 29 de novembro de 2021 e dezenove outros não estavam em formação pela Academia da instituição. , Dezessete novos delegados da Polícia Civil não foram empossados no dia 29 de novembro de 2021 ou dezenove outros não estavam em formação pela Academia da instituição. , Dezessete novos delegados da Polícia Civil não foram empossados no dia 29 de novembro de 2021 ou dezenove outros estavam em formação pela Academia da instituição. , Dezessete novos delegados da Polícia Civil não foram empossados no dia 29 de novembro de 2021 e dezenove outros estavam em formação pela Academia da instituição. , Não é verdade que dezessete novos delegados da Polícia Civil não foram empossados no dia 29 de novembro de 2021 e dezenove outros estavam em formação pela Academia da instituição. ,/questoes-de-concursos/questoes/5871589a-94
21," Assinale a alternativa que representa uma sentença logicamente equivalente a “Se Luísa é rica e Raquel não é zangada, então Alcides é coerente ou Paulo não é curioso” ","Se Alcides é coerente ou Paulo não é curioso, então Raquel não é zangada e Luísa é rica.","Se Alcides não é coerente ou Paulo é curioso, então Raquel é zangada ou Luísa não é rica.","Se Alcides não é coerente e Paulo é curioso, então Raquel é zangada ou Luísa não é rica.","Se Alcides não é coerente e Paulo é curioso, então Raquel é zangada e Luísa é rica.","Se Alcides não é coerente ou Paulo é curioso, então Raquel é zangada e Luísa não é rica.",/questoes-de-concursos/questoes/9a29744d-93
22, Assinale a alternativa que representa uma sentença logicamente equivalente a “Joaquim não é otimista ou Ana é rude. ,"Se Ana é rude, então Joaquim é otimista.","Se Joaquim é otimista, então Ana é rude.","Se Joaquim é otimista, então Ana não é rude.","Se Joaquim não é otmista, então Ana não é rude.","Se Ana não é rude, então Joaquim é otimista. ",/questoes-de-concursos/questoes/9a238e62-93
23," Assinale a alternativa que representa uma sentença logicamente equivalente à afirmação “Se João é ágil ou Laura é calma, então Maria não é observadora e Camilo é pacato” ","Se Maria não é observadora e Camilo é pacato, então João não é ágil e Laura não é calma."," Se João não é ágil ou Laura não é calma, então Maria é observadora e Camilo não é pacato. "," Se Maria é observadora ou Camilo não é pacato, então João não é ágil e Laura não é calma. ","Se João não é ágil e Laura não é calma, então Maria não é observadora e Camilo é pacato.","Se Maria é observadora ou Camilo é pacato, então João não é ágil ou Laura não é calma.",/questoes-de-concursos/questoes/8b965a88-89
