,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5,error,Quern treina muito pode encarar a São Silvestre. ,"Se não treinar muito, não poderei encarar a São Silvestre. ", Pode encarar a São Silvestre apenas quern treina muito ,Quern não encara a São Silvestre não treina muito ,"Não poderei encarar a São Silvestre, se nao treinar muito. ",/questoes-de-concursos/questoes/61bf257b-e0
6,error,"""Proibido entrar sem usar roupa de banho ou com camisa."" ","""Não é proibido sair usando roupa de banho ou sem camisa."" ","""Não é proibido entrar usando roupa de banho e sem camisa."" ","""Não é proibido entrar sem roupa de banho e com camisa."" ","""Permitido sair sem roupa de banho e com camisa."" ",/questoes-de-concursos/questoes/5a45bb3a-e0
7,error,vença sua partida e o Chelsea perca a sua ou que ele vença a sua partida e o Chelsea empate a sua.” ,vença sua partida ou o Chelsea perca a sua ou que ele vença a sua partida ou o Chelsea empate a sua.” ,empate sua partida e o Chelsea perca a sua ou que ele vença a sua partida e o Chelsea não vença a sua.” ,vença sua partida e o Chelsea perca a sua e que ele vença a sua partida e o Chelsea empate a sua.” ,vença sua partida ou o Chelsea perca a sua e que ele vença a sua partida ou o Chelsea empate a sua.” ,/questoes-de-concursos/questoes/da57856e-df
8,error," Se a inflação cair e o preço do óleo diesel não aumentar, então o preço das passagens de ônibus não será reajustado. ","Se a inflação cair ou o preço do óleo diesel aumentar, então o preço das passagens de ônibus não será reajustado. ","Se o preço das passagens de ônibus for reajustado, então a inflação não terá caído ou o preço do óleo diesel terá aumentado. ","Se o preço das passagens de ônibus não for reajustado, então a inflação terá caído ou o preço do óleo diesel terá aumentado. ","Se o preço das passagens de ônibus não for reajustado, então a inflação terá caído e o preço do óleo diesel não terá aumentado ",/questoes-de-concursos/questoes/d6d97c98-df
9,error,"Não estudei muito ou não passei no concurso, e minha preguiça não foi maior. ",Se não estudei muito então minha preguiça foi maior e não passei no concurso. ,"Minha preguiça foi maior e não passei no concurso, e não estudei muito. ",Não estudei muito e não passei no concurso e minha preguiça foi maior ,Estudei muito e não passei no concurso e minha preguiça foi maior. ,/questoes-de-concursos/questoes/1ce328a6-dc
10,error, Gilmar continua membro da comissão e Adélia vence a eleição ,Adélia não vence a eleição ou Gilmar continua membro da comissão. ,"Se Gilmar continua membro da comissão, então Adélia vence a eleição ",Ou Gilmar continua membro da comissão ou Adélia vence a eleição ,"Se Adélia não vence a eleição, então Gilmar não continua membro da comissão. ",/questoes-de-concursos/questoes/10c77ee0-dc
11,error,Nenhum parlamentar de Brasília falta às sessões plenárias das sextas-feiras no Congresso e retorna ao seu estado de origem. ,Todo parlamentar de Brasília comparece às sessões plenárias das sextas-feiras no Congresso ou retorna ao seu estado de origem. ,Algum parlamentar de Brasília comparece às sessões plenárias das sextas-feiras no Congresso e não retorna ao seu estado de origem. ,Algum parlamentar de Brasília comparece às sessões plenárias das sextas-feiras no Congresso e retorna ao seu estado de origem. ,Algum parlamentar de Brasília comparece às sessões plenárias das sextas-feiras no Congresso ou não retorna ao seu estado de origem. ,/questoes-de-concursos/questoes/918b7d86-da
12,error,O projeto de lei A é aprovado e o presidente da comissão não se fortalece e renuncia. ,Se o projeto de lei A não é aprovado então o presidente da comissão não se fortalece e não renuncia. ,Se o projeto de lei A não é aprovado então o presidente da comissão não se fortalece ou renuncia. ,Se o presidente da comissão não se fortalece ou renuncia então o projeto de lei A não é aprovado. ,O projeto de lei A não é aprovado ou o presidente da comissão se fortalece ou não renuncia. ,/questoes-de-concursos/questoes/90630b26-da
13," Assinale a alternativa que, sob o ponto de vista lógico, apresenta a afirmação e a sua correlata negação. ",error,error,error,error,error,/questoes-de-concursos/questoes/7560ca90-d3
14, Assinale a opção que apresenta uma proposição logicamente equivalente à negação da proposição “Todo ser humano é responsável pelo bem que não faz”. ,Todo ser humano não é responsável pelo bem que não faz. ,Algum ser humano não é responsável pelo bem que não faz. ,Todo ser humano é responsável pelo bem que faz. ,Todo ser humano é responsável pelo mal que não faz. ,Algum ser humano não é responsável pelo bem que faz. ,/questoes-de-concursos/questoes/522f5176-d1
15,none,none,none,none,none,none,/questoes-de-concursos/questoes/f93349db-d0
16," Fábio comprou um carro. Dizer que não é verdade que o carro comprado por Fábio é confortável e o carro comprado por Fábio é esportivo, é logicamente equivalente a dizer o seguinte: ",se o carro é confortável então o carro não é esportivo. ,se o carro não é confortável então o carro é esportivo. ,o carro não é confortável ou o carro não é esportivo. ,o carro não é confortável e o carro não é esportivo. ,ou o carro não é confortável ou o carro não é esportivo. ,/questoes-de-concursos/questoes/aacfbfa5-ce
17," A negação da frase ""todos os homens são desonestos"" é: ",Nenhum homem é honesto. ,Todos os homens são desonestos. ,Alguns homens são desonestos. , Nenhum homem é desonesto. ,Alguns homens são honestos. ,/questoes-de-concursos/questoes/ff069b36-cc
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/a077ebbc-c9
19,none,none,none,none,none,none,/questoes-de-concursos/questoes/9e6f9b09-c9
20,none,none,none,none,none,none,/questoes-de-concursos/questoes/9d70cd12-c9
21,error,Não cometi um crime ou serei condenado. ,"Se não cometi um crime, então não serei condenado. ","Se eu for condenado, então cometi um crime. ",Cometi um crime e serei condenado. ,Não cometi um crime e não serei condenado. ,/questoes-de-concursos/questoes/837bc91c-c9
22,error,,,,,,/questoes-de-concursos/questoes/d0b5dc2e-c7
23,error, I e II ,I e III , II e III , Todas são equivalentes , As proposições não são equivalentes ,/questoes-de-concursos/questoes/cf990ed9-c7
